Dataset: Ascending
Insertion Sort
Data Size,	CPU Time,	Number of Key Comparism
1000,	139000,	999
2000,	146920,	1999
3000,	170556,	2999
4000,	133973,	3999
5000,	287669,	4999
6000,	341629,	5999
7000,	228145,	6999
8000,	262522,	7999
9000,	294301,	8999
MergeSort
Data Size,	CPU Time,	Number of Key Comparism
1000,	1635871,	4556
2000,	650194,	10112
3000,	911118,	17052
4000,	1099978,	22224
5000,	423065,	29956
6000,	787670,	37104
7000,	812370,	43276
8000,	842369,	48448
9000,	499487,	56700
